Date,Open,High,Low,Close,Adj Close,Volume
2019-01-25,67.029999,67.690002,66.099998,67.089996,65.853447,21885800
2019-01-28,66.190002,66.959999,65.910004,66.900002,65.666954,11537700
2019-01-29,67.000000,67.500000,66.199997,67.040001,65.804375,10703400
2019-01-30,67.110001,68.209999,67.050003,68.150002,66.893913,11702500
2019-01-31,68.180000,69.489998,67.080002,68.139999,66.884102,24233300
2019-02-01,68.589996,69.320000,68.000000,68.110001,66.854652,10309200
2019-02-04,68.029999,68.110001,67.080002,67.580002,66.334419,13562400
2019-02-05,67.760002,69.410004,67.639999,69.339996,68.061974,12781600
2019-02-06,69.230003,69.389999,68.500000,68.849998,67.933708,10283400
2019-02-07,68.599998,69.209999,68.480003,69.139999,68.219849,10109200
2019-02-08,68.769997,69.820000,68.599998,69.750000,68.821732,8862000
2019-02-11,70.000000,70.470001,69.849998,69.989998,69.058533,9229700
2019-02-12,70.239998,70.459999,69.709999,69.750000,68.821732,8848900
2019-02-13,69.809998,70.599998,69.800003,70.510002,69.571617,10264000
2019-02-14,70.129997,71.540001,69.970001,70.839996,69.897232,9441100
2019-02-15,71.150002,71.370003,70.190002,70.709999,69.768959,13924600
2019-02-19,70.459999,70.599998,69.779999,70.199997,69.265739,9208400
2019-02-20,70.230003,70.599998,70.050003,70.389999,69.453217,9671800
2019-02-21,70.139999,70.930000,70.139999,70.699997,69.759087,10933500
2019-02-22,70.760002,71.389999,70.750000,71.300003,70.351105,11311600
2019-02-25,71.900002,72.070000,70.980003,71.050003,70.104431,12071200
2019-02-26,71.000000,71.449997,70.919998,71.139999,70.193237,12302300
2019-02-27,70.830002,71.129997,69.919998,70.150002,69.216415,13274800
2019-02-28,70.139999,70.489998,69.779999,70.260002,69.324951,18956700
2019-03-01,70.629997,71.110001,70.449997,70.849998,69.907089,8067700
2019-03-04,70.989998,71.349998,70.370003,70.949997,70.005753,9219700
2019-03-05,71.190002,71.889999,71.059998,71.580002,70.627380,10496100
2019-03-06,71.809998,72.180000,71.160004,71.269997,70.321503,7666100
2019-03-07,71.199997,71.360001,70.459999,70.610001,69.670288,7814700
2019-03-08,70.150002,70.269997,69.029999,69.360001,68.436920,12363900
2019-03-11,69.379997,70.010002,69.139999,69.680000,68.752670,11518300
2019-03-12,69.739998,70.580002,69.690002,70.050003,69.117744,12751700
