Date,Open,High,Low,Close,Adj Close,Volume
2019-01-25,207.880005,209.490005,206.860001,208.850006,208.850006,483800
2019-01-28,207.850006,207.869995,204.050003,205.699997,205.699997,424100
2019-01-29,205.179993,207.110001,203.369995,204.289993,204.289993,475100
2019-01-30,204.839996,209.529999,204.250000,207.679993,207.679993,515600
2019-01-31,208.110001,213.000000,207.110001,212.779999,212.779999,674800
2019-02-01,214.029999,214.500000,201.589996,205.380005,205.380005,1292700
2019-02-04,205.500000,207.850006,202.179993,203.160004,203.160004,533900
2019-02-05,203.509995,209.000000,203.279999,207.979996,207.979996,673500
2019-02-06,207.720001,209.750000,207.190002,208.830002,208.830002,504400
2019-02-07,207.270004,207.649994,204.289993,206.809998,206.809998,435300
2019-02-08,206.020004,207.899994,204.809998,207.740005,207.740005,374700
2019-02-11,208.410004,209.889999,206.410004,206.639999,206.639999,343000
2019-02-12,208.039993,210.059998,206.779999,209.500000,209.500000,348000
2019-02-13,210.320007,211.470001,209.100006,210.389999,210.389999,382700
2019-02-14,209.490005,209.860001,205.210007,206.940002,206.940002,613700
2019-02-15,208.580002,210.320007,207.009995,210.259995,210.259995,438600
2019-02-19,210.089996,211.889999,209.000000,211.320007,211.320007,484200
2019-02-20,211.380005,212.500000,210.649994,211.440002,211.440002,515000
2019-02-21,210.770004,210.770004,204.779999,205.990005,205.990005,651600
2019-02-22,206.490005,209.509995,206.279999,209.179993,209.179993,420500
2019-02-25,210.440002,212.750000,209.940002,210.100006,210.100006,492800
2019-02-26,210.070007,210.070007,207.029999,207.740005,207.740005,427100
2019-02-27,207.080002,209.229996,206.360001,208.970001,208.970001,279000
2019-02-28,208.850006,212.139999,208.000000,211.029999,211.029999,630100
2019-03-01,213.250000,216.850006,213.160004,215.929993,215.929993,520200
2019-03-04,217.750000,217.889999,212.149994,213.410004,213.410004,637600
2019-03-05,213.100006,213.860001,210.259995,210.800003,210.800003,609700
2019-03-06,211.669998,212.289993,207.300003,207.809998,207.809998,506800
2019-03-07,207.350006,207.710007,203.240005,203.889999,203.889999,432600
